v(m/s),w(m),d(m),tr(s),kappa,theta(rad),Risk_R
7.013,0.828,0.819,0.872,0.781,0.378408,1.0
7.54,0.59,1.099,0.73,0.863,0.145958,0.73
3.686,0.837,0.809,1.497,0.774,0.433786,1.0
4.357,0.554,1.538,1.301,0.818,0.074796,0.4383
8.027,0.781,1.459,1.219,0.892,0.321282,0.7213
2.709,0.696,0.878,0.789,0.585,0.034563,0.8542
4.791,0.583,1.608,1.437,0.351,0.500097,0.7041
6.181,0.64,0.877,0.901,0.856,0.37023,0.9659
2.402,0.572,1.203,0.654,0.463,0.147134,0.6216
8.428,0.829,1.205,1.387,0.525,0.249462,0.8842
3.808,0.742,1.779,1.024,0.55,0.339196,0.5429
2.983,0.817,1.303,0.839,0.71,0.327136,0.7349
2.574,0.755,1.042,1.157,0.876,0.420952,0.9444
6.42,0.706,0.943,1.23,0.49,0.260069,0.9398
4.274,0.59,1.43,0.365,0.824,0.166288,0.4809
2.001,0.703,0.847,0.631,0.795,0.032824,0.8441
8.715,0.551,1.047,1.189,0.521,0.053351,0.7834
4.882,0.631,1.643,0.676,0.852,0.466983,0.5646
5.471,0.823,1.177,1.457,0.363,0.359722,0.9277
5.951,0.666,1.433,1.145,0.303,0.087416,0.7128
7.704,0.75,1.766,1.213,0.966,0.367849,0.5922
4.384,0.582,1.582,1.073,0.334,0.188522,0.6142
9.654,0.7,1.233,0.849,0.446,0.193055,0.8505
4.959,0.566,1.568,0.8,0.876,0.445241,0.5562
3.696,0.747,1.272,1.356,0.451,0.354902,0.8027
6.862,0.639,0.937,1.082,0.817,0.165262,0.8512
7.159,0.669,1.513,0.539,0.923,0.150487,0.5646
4.942,0.567,0.912,0.919,0.487,0.437456,0.9363
2.118,0.664,1.137,0.323,0.387,0.216583,0.7263
5.943,0.671,1.331,1.014,0.307,0.243,0.7871
9.708,0.706,1.478,0.674,0.842,0.404701,0.7494
6.17,0.843,0.926,0.32,0.839,0.422626,1.0
2.962,0.63,0.818,0.652,0.841,0.271203,0.936
4.785,0.662,0.801,0.66,0.753,0.510087,1.0
8.776,0.557,1.699,1.24,0.846,0.239806,0.552
5.184,0.641,0.866,0.574,0.473,0.253462,0.9383
7.98,0.692,0.858,1.449,0.96,0.411124,1.0
9.931,0.713,1.763,0.391,0.556,0.118009,0.6129
3.567,0.592,1.422,1.238,0.705,0.076949,0.4744
8.489,0.741,1.188,1.109,0.482,0.180742,0.8399
9.34,0.637,1.27,1.368,0.795,0.03257,0.6844
3.178,0.552,1.431,0.837,0.394,0.501573,0.7036
